Identifier,Title,Creator,Date,Extent,Type,Rights,Description,
TX-01,Rosie 1,David Johnson,2013,1 Word,Text,David Johnson,A screenshot and recording of a text to speech of a word document to represent the artist's unique understanding and experience of art as a blind man.,
SI-01,Zora: How I Understand,Riva Lehrer,2009,N/A,Still Image,Riva Lehrer,An art piece a female's body covered by a wolf to represent the stigamization of socially challenged bodies.,
SI-02,Crouching figure with visible skeleton,Laura Ferguson,2000,N/A,Still Image,Laura Ferguson,An ink print of a body with it's skeleton exposed to represent the uniquness of indivudal bodies; inspired by medical imaging such as MRIs.,
SI-03,Carousel,Elizabeth Jameson,2010,N/A,Still Image,Elizabeth Jameson,"A digital collage of the artist's MRIs, reflecting their experience with multiple sclerosis. (1)",
SI-04,Kaleidoscope,Elizabeth Jameson,2010,N/A,Still Image,Elizabeth Jameson,"A digital collage of the artist's MRIs, reflecting their experience with multiple sclerosis. (2)",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
